task,variance,lengthscale,rho
CCSDT,10.962838966308125,6.050184173081115,1.0
PBE_PBE0_DH,0.9208789957091038,6.204395616674277,1.0
PBE0_DH_PBE,0.9208789957091038,6.204395616674277,1.0
PBE_BLYP,0.00725643950046171,5.232681096398603,1.0
BLYP_PBE,0.00725643950046171,5.232681096398603,1.0
PBE0_BLYP,0.3669486817542357,5.909018571066249,1.0
BLYP_PBE0,0.3669486817542357,5.909018571066249,1.0
BLYP_PBE0_DH,0.863200369419485,5.993010000395615,1.0
PBE0_DH_BLYP,0.863200369419485,5.993010000395615,1.0
PBE,0.08693255544199982,0.16434740890523192,0.9541470428171357
BLYP,0.08516215083890082,0.14834838890559618,0.9547940239230186
PBE0_PBE0_DH,0.008189794776534672,0.904429809626131,1.0
PBE0_DH_PBE0,0.008189794776534672,0.904429809626131,1.0
PBE0_PBE,0.406769217162018,6.285105953450672,1.0
PBE_PBE0,0.406769217162018,6.285105953450672,1.0
PBE0_DH,2.658986069933548,20.7381970016772,0.9698422688129662
PBE0,2.618098227462166,15.448220996538609,0.9665708826966644
CCSDT_PBE,0.09192659745337607,0.13507500862742336,1.0
PBE_CCSDT,0.09192659745337607,0.13507500862742336,1.0
CCSDT_BLYP,0.09072173059244797,0.13455060028552504,1.0
BLYP_CCSDT,0.09072173059244797,0.13455060028552504,1.0
CCSDT_PBE0,2.792542591652378,15.67772202502213,1.0
PBE0_CCSDT,2.792542591652378,15.67772202502213,1.0
CCSDT_PBE0_DH,2.7913214545179836,20.95406337384549,1.0
PBE0_DH_CCSDT,2.7913214545179836,20.95406337384549,1.0
